timestamp_utc,row_index,total_rows,patent_id,source_pdf,parse_status,parse_error,used_ocr,text_length
2026-05-11T09:19:46.781836+00:00,113,500,CN109553085B,CN109553085B.pdf,success,,False,16340
2026-05-11T09:19:46.815991+00:00,114,500,CN109553080B,CN109553080B.pdf,success,,False,15765
2026-05-11T09:19:46.867582+00:00,115,500,CN119284990A,CN119284990A.pdf,success,,False,25922
2026-05-11T09:20:37.903751+00:00,116,500,CN104752706A,CN104752706A.pdf,success_ocr,,True,14299
2026-05-11T09:21:26.935978+00:00,117,500,CN104752706B,CN104752706B.pdf,success_ocr,,True,14458
2026-05-11T09:21:26.965096+00:00,118,500,CN111211352A,CN111211352A.pdf,success,,False,9404
2026-05-11T09:21:26.999055+00:00,119,500,CN113964444A,CN113964444A.pdf,success,,False,11881
2026-05-11T09:21:54.646726+00:00,120,500,CN103165897B,CN103165897B.pdf,success_ocr,,True,7789
2026-05-11T09:21:54.690333+00:00,121,500,CN113764743A,CN113764743A.pdf,success,,False,7601
2026-05-11T09:21:54.717913+00:00,122,500,CN112582710A,CN112582710A.pdf,success,,False,12250
2026-05-11T09:21:54.746440+00:00,123,500,CN107471674B,CN107471674B.pdf,success,,False,17172
2026-05-11T09:21:54.789031+00:00,124,500,CN121831526A,CN121831526A.pdf,success,,False,16753
2026-05-11T09:21:54.816729+00:00,125,500,CN112582710B,CN112582710B.pdf,success,,False,12531
2026-05-11T09:21:54.852860+00:00,126,500,CN112730232A,CN112730232A.pdf,success,,False,19738
2026-05-11T09:21:54.875642+00:00,127,500,CN112521779A,CN112521779A.pdf,success,,False,10445
2026-05-11T09:21:54.893499+00:00,128,500,CN109411755A,CN109411755A.pdf,success,,False,3937
2026-05-11T09:21:54.918202+00:00,129,500,CN114127993A,CN114127993A.pdf,success,,False,11806
2026-05-11T09:21:54.953746+00:00,130,500,CN112730232B,CN112730232B.pdf,success,,False,19156
2026-05-11T09:21:54.970891+00:00,131,500,CN110247017A,CN110247017A.pdf,success,,False,6490
2026-05-11T09:21:54.994939+00:00,132,500,CN116914877A,CN116914877A.pdf,success,,False,8345
2026-05-11T09:21:55.023057+00:00,133,500,CN111943219A,CN111943219A.pdf,success,,False,9499
2026-05-11T09:21:55.046511+00:00,134,500,CN111048783A,CN111048783A.pdf,success,,False,7151
2026-05-11T09:21:55.070134+00:00,135,500,CN111048783B,CN111048783B.pdf,success,,False,7544
2026-05-11T09:21:55.102424+00:00,136,500,CN107565094A,CN107565094A.pdf,success,,False,19008
2026-05-11T09:21:55.122008+00:00,137,500,CN115508423A,CN115508423A.pdf,success,,False,7619
2026-05-11T09:21:55.151919+00:00,138,500,CN114552123B,CN114552123B.pdf,success,,False,9378
2026-05-11T09:21:55.200039+00:00,139,500,CN115832173A,CN115832173A.pdf,success,,False,32351
2026-05-11T09:21:55.252081+00:00,140,500,CN115832173B,CN115832173B.pdf,success,,False,32413
2026-05-11T09:21:55.292317+00:00,141,500,CN108281640B,CN108281640B.pdf,success,,False,15175
2026-05-11T09:21:55.317684+00:00,142,500,CN119601584A,CN119601584A.pdf,success,,False,8016
2026-05-11T09:22:35.377890+00:00,143,500,CN106935797A,CN106935797A.pdf,success_ocr,,True,11524
2026-05-11T09:22:35.450644+00:00,144,500,CN112812225A,CN112812225A.pdf,success,,False,39384
2026-05-11T09:22:35.516883+00:00,145,500,CN112812225B,CN112812225B.pdf,success,,False,39569
2026-05-11T09:22:35.574685+00:00,146,500,CN110783570B,CN110783570B.pdf,success,,False,36636
2026-05-11T09:23:03.760404+00:00,147,500,CN107919459A,CN107919459A.pdf,success_ocr,,True,8480
2026-05-11T09:23:03.796934+00:00,148,500,CN121545998A,CN121545998A.pdf,success,,False,10144
2026-05-11T09:23:03.869506+00:00,149,500,CN115023831B,CN115023831B.pdf,success,,False,46337
2026-05-11T09:23:03.899591+00:00,150,500,CN117559040A,CN117559040A.pdf,success,,False,9333
2026-05-11T09:23:03.934610+00:00,151,500,CN115621428A,CN115621428A.pdf,success,,False,15225
2026-05-11T09:23:03.964969+00:00,152,500,CN113353985B,CN113353985B.pdf,success,,False,12772
2026-05-11T09:23:04.005401+00:00,153,500,CN112448050A,CN112448050A.pdf,success,,False,16292
2026-05-11T09:23:04.038167+00:00,154,500,CN112448050B,CN112448050B.pdf,success,,False,16566
2026-05-11T09:23:37.459127+00:00,155,500,CN102790201A,CN102790201A.pdf,success_ocr,,True,7725
2026-05-11T09:23:37.498768+00:00,156,500,CN114920929B,CN114920929B.pdf,success,,False,9911
2026-05-11T09:24:10.558347+00:00,157,500,CN106848404A,CN106848404A.pdf,success_ocr,,True,9087
2026-05-11T09:24:10.595668+00:00,158,500,CN116014135A,CN116014135A.pdf,success,,False,9011
2026-05-11T09:24:10.621101+00:00,159,500,CN106935797B,CN106935797B.pdf,success,,False,12265
2026-05-11T09:24:10.646485+00:00,160,500,CN114127993B,CN114127993B.pdf,success,,False,12050
2026-05-11T09:24:10.692419+00:00,161,500,CN109553080A,CN109553080A.pdf,success,,False,15398
2026-05-11T09:24:10.728727+00:00,162,500,CN109553085A,CN109553085A.pdf,success,,False,15911
2026-05-11T09:24:45.316554+00:00,163,500,CN102867984A,CN102867984A.pdf,success_ocr,,True,8634
2026-05-11T09:24:45.351248+00:00,164,500,CN111916661A,CN111916661A.pdf,success,,False,12766
2026-05-11T09:25:27.619505+00:00,165,500,CN102303007A,CN102303007A.pdf,success_ocr,,True,10961
2026-05-11T09:27:40.238217+00:00,166,500,CN105849942A,CN105849942A.pdf,success_ocr,,True,35219
2026-05-11T09:27:40.281288+00:00,167,500,CN121215918A,CN121215918A.pdf,success,,False,10580
2026-05-11T09:28:08.843906+00:00,168,500,CN102684240A,CN102684240A.pdf,success_ocr,,True,7132
2026-05-11T09:28:08.876112+00:00,169,500,CN116031386A,CN116031386A.pdf,success,,False,8683
2026-05-11T09:28:08.940473+00:00,170,500,CN115023831A,CN115023831A.pdf,success,,False,45319
2026-05-11T09:28:08.969225+00:00,171,500,CN114552123A,CN114552123A.pdf,success,,False,8721
2026-05-11T09:28:08.992435+00:00,172,500,CN117438579A,CN117438579A.pdf,success,,False,6838
2026-05-11T09:28:09.019929+00:00,173,500,CN116911486A,CN116911486A.pdf,success,,False,11057
2026-05-11T09:28:29.911033+00:00,174,500,CN104269504A,CN104269504A.pdf,success_ocr,,True,4155
2026-05-11T09:28:29.945506+00:00,175,500,CN113429433A,CN113429433A.pdf,success,,False,8188
2026-05-11T09:29:02.573109+00:00,176,500,CN102790201B,CN102790201B.pdf,success_ocr,,True,7680
2026-05-11T09:29:02.612649+00:00,177,500,CN109585922A,CN109585922A.pdf,success,,False,14985
2026-05-11T09:29:26.179474+00:00,178,500,CN203760525U,CN203760525U.pdf,success_ocr,,True,5747
2026-05-11T09:29:26.222216+00:00,179,500,CN111710871A,CN111710871A.pdf,success,,False,17904
2026-05-11T09:29:26.257899+00:00,180,500,CN107471674A,CN107471674A.pdf,success,,False,16679
2026-05-11T09:29:26.294249+00:00,181,500,CN117559041A,CN117559041A.pdf,success,,False,10457
2026-05-11T09:29:26.319738+00:00,182,500,CN109599591A,CN109599591A.pdf,success,,False,11973
2026-05-11T09:29:26.350033+00:00,183,500,CN117559040B,CN117559040B.pdf,success,,False,10526
2026-05-11T09:29:26.383925+00:00,184,500,CN113353985A,CN113353985A.pdf,success,,False,12730
2026-05-11T09:29:26.415313+00:00,185,500,CN115148964A,CN115148964A.pdf,success,,False,16426
2026-05-11T09:29:26.445956+00:00,186,500,CN117374514A,CN117374514A.pdf,success,,False,9327
2026-05-11T09:29:26.502771+00:00,187,500,CN105849942B,CN105849942B.pdf,success,,False,36126
2026-05-11T09:29:26.525813+00:00,188,500,CN114514436A,CN114514436A.pdf,success,,False,8438
2026-05-11T09:29:26.549714+00:00,189,500,CN114514436B,CN114514436B.pdf,success,,False,8563
2026-05-11T09:29:26.612068+00:00,190,500,CN108574101B,CN108574101B.pdf,success,,False,42496
2026-05-11T09:29:26.646519+00:00,191,500,CN115763979A,CN115763979A.pdf,success,,False,15571
2026-05-11T09:29:55.358198+00:00,192,500,CN104282883A,CN104282883A.pdf,success_ocr,,True,8163
2026-05-11T09:29:55.388193+00:00,193,500,CN108807825A,CN108807825A.pdf,success,,False,10293
2026-05-11T09:29:55.410936+00:00,194,500,CN109167013A,CN109167013A.pdf,success,,False,10167
2026-05-11T09:29:55.441146+00:00,195,500,CN109167004A,CN109167004A.pdf,success,,False,10203
2026-05-11T09:29:55.466306+00:00,196,500,CN108807825B,CN108807825B.pdf,success,,False,10327
2026-05-11T09:29:55.490624+00:00,197,500,CN114361715A,CN114361715A.pdf,success,,False,10412
2026-05-11T09:30:29.903407+00:00,198,500,CN102931378A,CN102931378A.pdf,success_ocr,,True,9491
2026-05-11T09:30:29.941467+00:00,199,500,CN108281616A,CN108281616A.pdf,success,,False,13253
2026-05-11T09:30:29.963280+00:00,200,500,CN106099114B,CN106099114B.pdf,success,,False,7242
2026-05-11T09:30:58.656918+00:00,201,500,CN102684240B,CN102684240B.pdf,success_ocr,,True,7012
2026-05-11T09:30:58.693794+00:00,202,500,CN120073112A,CN120073112A.pdf,success,,False,10839
2026-05-11T09:30:58.716706+00:00,203,500,CN107732318A,CN107732318A.pdf,success,,False,5811
2026-05-11T09:31:26.756627+00:00,204,500,CN106099073A,CN106099073A.pdf,success_ocr,,True,8320
2026-05-11T09:31:26.864571+00:00,205,500,CN118888687A,CN118888687A.pdf,success,,False,67267
2026-05-11T09:31:26.888018+00:00,206,500,CN115642306A,CN115642306A.pdf,success,,False,8904
2026-05-11T09:31:54.903580+00:00,207,500,CN102386392A,CN102386392A.pdf,success_ocr,,True,7261
2026-05-11T09:31:55.011918+00:00,208,500,CN118888687B,CN118888687B.pdf,success,,False,67882
2026-05-11T09:32:46.892154+00:00,209,500,CN101409338A,CN101409338A.pdf,success_ocr,,True,10279
2026-05-11T09:33:13.547678+00:00,210,500,CN102867984B,CN102867984B.pdf,success_ocr,,True,8104
2026-05-11T09:33:51.897634+00:00,211,500,CN102668185B,CN102668185B.pdf,success_ocr,,True,11375
2026-05-11T09:34:30.013058+00:00,212,500,CN102668185A,CN102668185A.pdf,success_ocr,,True,11139
2026-05-11T09:36:12.295827+00:00,213,500,CN112449732A,CN112449732A.pdf,success_ocr,,True,26870
2026-05-11T09:36:43.267357+00:00,214,500,CN107768595A,CN107768595A.pdf,success_ocr,,True,9094
2026-05-11T09:36:43.304758+00:00,215,500,CN112271328A,CN112271328A.pdf,success,,False,13302
2026-05-11T09:36:43.334888+00:00,216,500,CN112271328B,CN112271328B.pdf,success,,False,13556
2026-05-11T09:36:43.358919+00:00,217,500,CN113903885A,CN113903885A.pdf,success,,False,10141
2026-05-11T09:36:43.380797+00:00,218,500,CN113782729A,CN113782729A.pdf,success,,False,7203
2026-05-11T09:36:43.402238+00:00,219,500,CN207074690U,CN207074690U.pdf,success,,False,6049
2026-05-11T09:36:43.436164+00:00,220,500,CN114497776B,CN114497776B.pdf,success,,False,14783
2026-05-11T09:36:43.472555+00:00,221,500,CN114497777B,CN114497777B.pdf,success,,False,15442
2026-05-11T09:37:12.903543+00:00,222,500,CN103151473A,CN103151473A.pdf,success_ocr,,True,7562
2026-05-11T09:37:12.948048+00:00,223,500,CN111682272A,CN111682272A.pdf,success,,False,15590
2026-05-11T09:37:12.972781+00:00,224,500,CN111180800A,CN111180800A.pdf,success,,False,8483
2026-05-11T09:37:12.991387+00:00,225,500,CN111313115A,CN111313115A.pdf,success,,False,7050
2026-05-11T09:37:37.412784+00:00,226,500,CN107611447A,CN107611447A.pdf,success_ocr,,True,7945
2026-05-11T09:37:37.489471+00:00,227,500,CN109301192A,CN109301192A.pdf,success,,False,12792
2026-05-11T09:37:37.529940+00:00,228,500,CN110422889A,CN110422889A.pdf,success,,False,22290
2026-05-11T09:37:37.583450+00:00,229,500,CN110957544B,CN110957544B.pdf,success,,False,25774
2026-05-11T09:37:37.620572+00:00,230,500,CN115047354A,CN115047354A.pdf,success,,False,14493
2026-05-11T09:37:37.663675+00:00,231,500,CN110957544A,CN110957544A.pdf,success,,False,24971
2026-05-11T09:37:37.729753+00:00,232,500,CN108574102A,CN108574102A.pdf,success,,False,46826
2026-05-11T09:38:03.606860+00:00,233,500,CN102386392B,CN102386392B.pdf,success_ocr,,True,7394
2026-05-11T09:38:36.876371+00:00,234,500,CN102931378B,CN102931378B.pdf,success_ocr,,True,9508
2026-05-11T09:38:36.954868+00:00,235,500,CN108574101A,CN108574101A.pdf,success,,False,41152
2026-05-11T09:38:59.603280+00:00,236,500,CN204946961U,CN204946961U.pdf,success_ocr,,True,6264
2026-05-11T09:38:59.691088+00:00,237,500,CN108574102B,CN108574102B.pdf,success,,False,46926
2026-05-11T09:39:38.655085+00:00,238,500,CN101409337B,CN101409337B.pdf,success_ocr,,True,10591
2026-05-11T09:40:20.966763+00:00,239,500,CN101409337A,CN101409337A.pdf,success_ocr,,True,10313
2026-05-11T09:40:20.999115+00:00,240,500,CN110911743A,CN110911743A.pdf,success,,False,12214
2026-05-11T09:40:21.072569+00:00,241,500,CN115986339A,CN115986339A.pdf,success,,False,20713
2026-05-11T09:40:21.116323+00:00,242,500,CN115986339B,CN115986339B.pdf,success,,False,20794
2026-05-11T09:40:21.138845+00:00,243,500,CN115207479A,CN115207479A.pdf,success,,False,9208
2026-05-11T09:40:21.164356+00:00,244,500,CN121149428A,CN121149428A.pdf,success,,False,9095
2026-05-11T09:40:21.185917+00:00,245,500,CN109473718A,CN109473718A.pdf,success,,False,9215
2026-05-11T09:40:21.211950+00:00,246,500,CN112786963A,CN112786963A.pdf,success,,False,12497
2026-05-11T09:40:21.244972+00:00,247,500,CN121192373A,CN121192373A.pdf,success,,False,13430
2026-05-11T09:40:21.269508+00:00,248,500,CN109216768A,CN109216768A.pdf,success,,False,10859
2026-05-11T09:40:21.300104+00:00,249,500,CN114497777A,CN114497777A.pdf,success,,False,14753
2026-05-11T09:40:21.329435+00:00,250,500,CN114497776A,CN114497776A.pdf,success,,False,14175
2026-05-11T09:40:21.352278+00:00,251,500,CN109473718B,CN109473718B.pdf,success,,False,9696
2026-05-11T09:40:21.384181+00:00,252,500,CN115441058A,CN115441058A.pdf,success,,False,15409
2026-05-11T09:40:45.750957+00:00,253,500,CN105428721A,CN105428721A.pdf,success_ocr,,True,6669
2026-05-11T09:40:45.781360+00:00,254,500,CN115498355A,CN115498355A.pdf,success,,False,9413
2026-05-11T09:40:45.817866+00:00,255,500,CN112820934B,CN112820934B.pdf,success,,False,17090
2026-05-11T09:40:45.846116+00:00,256,500,CN111769287B,CN111769287B.pdf,success,,False,10812
2026-05-11T09:40:45.872907+00:00,257,500,CN115207479B,CN115207479B.pdf,success,,False,9292
